标志,ID,人物,内容,跳转,先决条件,效果,空
#,0,ce,“风险？说说看？”,1,,,
#,1,kown,“地心的温度和压力都很高，对我们的设备要求很高。” ,2,,,
#,2,ce,“还有呢？”,3,,,
#,3,kown,“这颗星球地质分布不均，地质运动频繁。”,4,,,
#,4,ce,“嗯。”,5,,,
#,5,kown,“额，额……”,6,,,
#,6,kown,“哦！”,7,,,
#,7,kown,“深潜设备我带的限定联名款。”,8,,,
#,8,ce,“什么？哪一套？”,9,,,
#,9,kown,“带猫的那一套。”,10,,,
#,10,ce,“什么？！不是，你是怎么知道这些东西的？还用它来威胁我？你小子居然学坏了，哼？”,11,,,
#,11,kown,“我看你挺喜欢地球的文化，我就也去查看了一下，这是我根据名为二次元的知识想到的策略。”,12,,,
#,12,ce,“哦，天哪，看样子你没错过精彩部分，哎，这次的探索就算了，开始干活吧。”,13,,,
&,13,kown,ん?,14,,,
&,13,kown,干活？怎么干啊。,15,,,
&,13,kown,好的，博士。,16,,,
#,14,ce,“ん?挖矿啊，我带你出来可不是让你卖萌撒娇的。”,17,,,
#,15,ce,“挖矿啊，难道你需要一把镐子吗？”,17,,,
#,16,ce,“开始挖矿吧。”,17,,,
End,17,,,,,63,
